                  epoch,             train/loss,  metrics/accuracy_top1,  metrics/accuracy_top5,               val/loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.12818,                0.77273,                      1,                0.27128,              6.426e-05,              6.426e-05,              6.426e-05
                      2,                0.09798,                0.84416,                      1,                0.23278,             0.00013118,             0.00013118,             0.00013118
                      3,                0.06914,                0.92857,                      1,                0.20214,             0.00019339,             0.00019339,             0.00019339
                      4,                0.04347,                0.98052,                      1,                0.17775,             0.00025089,             0.00025089,             0.00025089
                      5,                0.03022,                0.99351,                      1,                0.16106,             0.00030368,             0.00030368,             0.00030368
                      6,                0.01076,                      1,                      1,                0.15442,             0.00035175,             0.00035175,             0.00035175
                      7,                0.00584,                      1,                      1,                0.15213,             0.00039511,             0.00039511,             0.00039511
                      8,                0.00282,                      1,                      1,                0.15134,             0.00043376,             0.00043376,             0.00043376
                      9,                0.00196,                      1,                      1,                0.15108,              0.0004677,              0.0004677,              0.0004677
                     10,                0.00067,                      1,                      1,                0.15096,             0.00049692,             0.00049692,             0.00049692
                     11,                0.00056,                      1,                      1,                 0.1509,             0.00047838,             0.00047838,             0.00047838
                     12,                0.00073,                      1,                      1,                0.15086,             0.00047838,             0.00047838,             0.00047838
                     13,                0.00024,                      1,                      1,                0.15084,             0.00045482,             0.00045482,             0.00045482
                     14,                0.00018,                      1,                      1,                0.15083,             0.00043126,             0.00043126,             0.00043126
                     15,                0.00029,                      1,                      1,                0.15082,             0.00040769,             0.00040769,             0.00040769
                     16,                0.00034,                      1,                      1,                0.15081,             0.00038413,             0.00038413,             0.00038413
                     17,                0.00024,                      1,                      1,                0.15081,             0.00036057,             0.00036057,             0.00036057
                     18,                0.00014,                      1,                      1,                 0.1508,             0.00033701,             0.00033701,             0.00033701
                     19,                0.00015,                      1,                      1,                0.15079,             0.00031345,             0.00031345,             0.00031345
                     20,                  8e-05,                      1,                      1,                0.15079,             0.00028988,             0.00028988,             0.00028988
                     21,                  6e-05,                      1,                      1,                0.15079,             0.00026632,             0.00026632,             0.00026632
                     22,                0.00032,                      1,                      1,                0.15078,             0.00024276,             0.00024276,             0.00024276
                     23,                0.00022,                      1,                      1,                0.15078,              0.0002192,              0.0002192,              0.0002192
                     24,                  9e-05,                      1,                      1,                0.15078,             0.00019564,             0.00019564,             0.00019564
                     25,                0.00013,                      1,                      1,                0.15078,             0.00017207,             0.00017207,             0.00017207
                     26,                0.00029,                      1,                      1,                0.15078,             0.00014851,             0.00014851,             0.00014851
                     27,                  8e-05,                      1,                      1,                0.15078,             0.00012495,             0.00012495,             0.00012495
                     28,                0.00017,                      1,                      1,                0.15078,             0.00010139,             0.00010139,             0.00010139
                     29,                0.00029,                      1,                      1,                0.15078,             7.7826e-05,             7.7826e-05,             7.7826e-05
                     30,                  8e-05,                      1,                      1,                0.15078,             5.4264e-05,             5.4264e-05,             5.4264e-05
